name,marc_field
Creator,marc:datafield[@tag='100']/marc:subfield[@code='a']
Creator-rela,marc:datafield[@tag='100']/marc:subfield[@code='e']
Title,marc:datafield[@tag='245']/marc:subfield[@code='a']
Subtitle,marc:datafield[@tag='245']/marc:subfield[@code='b']
Statement of responsibility,marc:datafield[@tag='245']/marc:subfield[@code='c']
Publisher,marc:datafield[@tag='264']/marc:subfield[@code='b']
Place of Publication,marc:datafield[@tag='264']/marc:subfield[@code='a']
Year of Publication,marc:datafield[@tag='264']/marc:subfield[@code='c']
Pages,marc:datafield[@tag='300']/marc:subfield[@code='a']
Note,marc:datafield[@tag='500']/marc:subfield[@code='a']
Thesis statement,marc:datafield[@tag='502']/marc:subfield[@code='a']
Added creator,marc:datafield[@tag='700']/marc:subfield[@code='a']
Added creator-rela,marc:datafield[@tag='700']/marc:subfield[@code='e']
